Symbol	Description
DKKEUR.U	
DKKEUR.V	
DKKEUR.X	
DKKGBP	DKK / GBP
DKKHKD	DKK / HKD
DKKHUF	DKK / HUF
DKKINR	DKK / INR
DKKISK	DKK / ISK
DKKJPY	DKK / JPY
DKKMXN	DKK / MXN
DKKMYR	DKK / MYR
DKKNOK	DKK / NOK
DKKNZD	DKK / NZD
DKKPHP	DKK / PHP
DKKPKR	DKK / PKR
DKKPLN	DKK / PLN
DKKRUB	
DKKSEK	DKK / SEK
DKKSGD	DKK / SGD
DKKTHB	DKK / THB
DKKTRY	DKK / TRY
DKKTWD	DKK / TWD
DKKUAH	DKK / UAH
DKKUSD	DKK / USD
DKKZAR	DKK / ZAR
DOPGBP	DOP / GBP
DOPUSD	
DZDEUR	DZD / EUR
DZDUSD	DZD / USD
E6Y0	
ECBAUD	
ECBBGN	
ECBBRL	
ECBCAD	
ECBCHF	
ECBCNY	
ECBCZK	
ECBDKK	
ECBGBP	
ECBHKD	
ECBHUF	
ECBIDR	
ECBILS	
ECBINR	
ECBISK	
ECBJPY	
ECBKRW	
ECBMXN	
ECBMYR	
ECBNOK	
ECBNZD	
ECBPHP	
ECBPLN	
ECBRON	
ECBSEK	
ECBSGD	
ECBTHB	
ECBTRY	
ECBUSD	
ECBZAR	
ECY0	
EGPBRL	
EGPEUR	EGP / EUR
EGPJPY	EGP / JPY
EGPPKR	Egyptian Pound / Pakistani Rupee
EGPUSD	EGP / USD
EGPZAR	
ETBGBP	ETB / GBP
ETBUSD	
EURAED	EUR / AED
EURAFN	Euro / Afghanistan Afghani
EURALL	EUR / ALL
EURAMD	EUR / AMD
EURARS	EUR / ARS
EURAUD	EUR / AUD
EURAUD.1	
EURAUD.2	
EURAUD.A	
EURAUD.B	
EURAUD.C	
EURAUD.D	
EURAUD.E	
EURAUD.G	
EURAUD.H	
EURAUD.J	
EURAUD.K	
EURAUD.M	
EURAUD.N	
EURAUD.Q	
EURAUD.S	
EURAUD.U	
EURAUD.V	
EURAUD.X	
EURBAM	EUR / BAM
EURBBD	Euro / Barbadian Dollar
EURBDT	Euro / Bangladeshi Taka
EURBGN	Euro / Bulgarian Lev
EURBHD	EUR / BHD
EURBIF	Euro / Burundian Franc
EURBMD	
EURBND	Euro / Brunei Dollar
EURBOB	Euro / Bolivian Boliviano
EURBRL	EUR / BRL
EURBRP	
EURBSD	Euro / Bahamas Dollar
EURBTN	
EURBWP	EUR / BWP
EURBZD	Euro / Belize Dollar
EURCAD	EUR / CAD
EURCAD.1	
EURCAD.2	
EURCAD.A	
EURCAD.B	
EURCAD.C	
EURCAD.D	
EURCAD.E	
EURCAD.G	
EURCAD.H	
EURCAD.J	
EURCAD.K	
EURCAD.M	
EURCAD.N	
EURCAD.O	
EURCAD.Q	
EURCAD.S	
EURCAD.U	
EURCAD.V	
EURCAD.X	
EURCDF	
EURCHF	EUR / CHF
EURCLP	Euro / Chilean Peso
EURCNH	EUR / CNH
EURCNY	EUR / CNY
EURCOP	Euro / Colombian Peso
EURCRC	Euro / Costa Rican Colon
EURCUP	Euro / Cuban Peso
EURCVE	Euro / Cape Verdean Escudo
